Timestamp,BTC_Volume,CURRENCY_Volume,Daily_Open,Daily_Close,Daily_High,Daily_Low
1/16/16 23:59,1643.363048,637572.3074,369.06,369.23,392.07,366.06
3/19/20 23:59,334.4066911,2073378.983,5626.79,5628.96,6433.98,5619.15
5/5/20 23:59,178.91616,1611471.579,8882.25,8879.47,9046.29,8823.1
11/13/17 23:59,12.12598769,79221.68404,6586.1,6585.03,6775.75,6310
1/31/21 23:59,9.84316757,325867.5744,33590.64,33607.59,34226.9,32193.7
10/14/17 23:59,891.1038885,5152014.976,5688.85,5688.86,5817.34,5636.01
11/29/15 23:59,39.71811539,14718.23749,363.6,363.61,373.15,359.52
12/19/15 23:59,118.152979,54497.88534,464.63,464.67,465.88,452.03
2/16/19 23:59,47.49748781,170151.9401,3573.35,3572.7,3620.53,3544.88
7/24/19 23:59,68.99581016,677111.9821,9696.77,9698.74,9911.5,9514.96
2/28/14 23:59,2028.863892,1113031.548,585.24,551.89,599.99,541
12/13/16 23:59,81.81610186,63573.81934,777.5,777.51,784,774.72
9/10/14 23:59,398.1487982,189926.5665,473.34,476.57,492,473.32
10/3/15 23:59,7.4687576,1785.592386,238.4,237.23,239.86,237.77
2/12/16 23:59,414.325344,158609.6115,379.6,380.65,383.48,373.54
4/25/17 23:59,83.7709616,106532.3233,1270.71,1270.71,1280,1262.02
11/30/17 23:59,1050.775045,10534686.16,9900.41,9900.41,10178.7,9000
8/31/20 23:59,81.38732921,950926.3789,11691.7,11692.28,11780,11600
1/12/20 23:59,64.06939766,523166.6068,8104.54,8112.31,8190,8070.01
6/27/14 23:59,292.3169614,175039.875,580.09,599.99,600,574
10/19/20 23:59,28.30419791,332257.0404,11502.92,11510.34,11840,11477.54
4/8/16 23:59,80.26115415,33508.71819,420.22,419.77,423.99,416.26
1/30/14 23:59,16.51809648,13203.10104,794.21,799.99,812.44,770.7
3/21/20 23:59,85.38830464,526233.5184,6036.9,6699.26,6461.91,6036.9
11/5/17 23:59,298.1375519,2188561.351,7540,7540,7590,7280
1/19/18 23:59,90.58692677,1041814.713,11841.75,11830,12050.39,11025.18
3/29/18 23:59,178.9386725,1269127.242,7477.74,7471.63,7562.13,6914.53
9/4/14 23:59,88.29242914,43104.36491,474.86,487.43,497,471.04
4/12/16 23:59,15.02194492,6386.910202,425.06,425.09,426.67,424
7/29/17 23:59,700.5089398,1882606.274,2669.14,2666.34,2746.79,2631.78
6/7/17 23:59,411.7227101,1109881.876,2854.03,2854.03,2869.64,2612.5
1/17/21 23:59,144.1995368,5174432.452,35299.23,35322.54,36839,34700
11/23/19 23:59,16.94804249,124097.8325,7213.6,7210.42,7356.49,7148.97
7/4/16 23:59,136.2387261,92532.12845,649.99,667.34,704.99,640.1
8/14/16 23:59,16.55708453,9397.754017,578.45,587.82,578.72,556.24
9/20/16 23:59,254.3995792,153747.0577,607.55,607.53,608.15,600.94
7/14/17 23:59,63.68759271,140833.0627,2337,2337,2337,2140
10/22/19 23:59,6.22443329,49968.2461,8276.96,8271.47,8314.77,7989.15
1/20/16 23:59,275.6750673,115553.6503,377.05,377.18,422.98,375
12/17/18 23:59,176.8705236,619290.1321,3236.67,3237.59,3590,3235.01
12/31/14 23:59,189.2556293,60631.56826,311.1,321,321,310.69
10/25/19 23:59,89.51900435,775399.2135,7594.73,7591.82,8784.29,7571.6
1/4/20 23:59,2.45915255,18060.75355,7321.52,7326.11,7396.1,7256.03
2/23/21 23:59,139.4675587,6777332.941,45830.22,45848.54,49582.34,45210
11/12/18 23:59,22.59666533,142779.8859,6358.73,6358.09,6374.15,6298.5
10/20/19 23:59,20.46661151,168358.6168,7937.25,7937.25,8314.77,7932
8/13/18 23:59,30.82554784,192697.6842,6447.8,6447.02,6476.53,6142.2
1/10/15 23:59,247.0695924,68124.58251,264.55,280,305,264.07
1/17/20 23:59,50.00497356,445483.7373,8894.56,8884.28,8950,8762.39
2/25/20 23:59,64.84121552,604301.5087,9564.45,9561,9682.73,9234.21
1/21/18 23:59,43.36962326,499008.9359,12115.46,12100,12244.18,11100
3/15/18 23:59,135.039214,1115379.179,8247.76,8248.29,8425,7951.11
6/11/17 23:59,9.51437225,28121.10677,2877.77,2874.59,2967.46,2871.15
8/18/18 23:59,1.19303806,7625.678616,6502.95,6499.46,6522.9,6303
11/5/19 23:59,149.0706093,1389987.331,9290.2,9281.23,9431.13,9222
3/6/17 23:59,11.56599895,14793.98114,1277.66,1277.66,1285,1270.04
12/14/19 23:59,15.81999868,111898.9364,7187.48,7182.86,7191.97,7007.48
3/23/20 23:59,259.0092296,1681886.01,5863.2,5864.67,6629.79,5831.37
9/4/17 23:59,262.637274,1118844.865,4287,4288.07,4410.97,4058.5
7/16/14 23:59,45.92068918,28296.88329,622.9,616.86,625,610.01
8/27/19 23:59,38.39231984,390525.7681,10131.01,10126.57,10227.83,10019.1
1/23/17 23:59,151.2824547,138871.5026,930.92,921.21,930.92,886.76
6/29/15 23:59,573.2058216,146510.3619,255.2,255.08,256.64,250.41
4/16/14 23:59,47.96346356,25376.72095,523.1,530,548,494.02
2/6/19 23:59,8.18898324,27570.64876,3362.24,3361.05,3387.1,3328.7
7/16/15 23:59,587.520545,163325.1167,283.59,283.55,284.54,274.92
5/16/20 23:59,43.01730768,403748.1581,9393.34,9393.22,9531.83,9255.24
1/12/16 23:59,2355.818644,1029636.751,444.84,444.84,447.34,434.35
1/29/15 23:59,328.8743331,77374.23775,229.71,229.53,240.89,220
12/14/18 23:59,40.14332995,127983.2194,3252.08,3252.08,3275.46,3135.55
2/6/17 23:59,2.0008897,2048.487192,1021.44,1021.59,1026.65,1017
9/29/20 23:59,92.13845383,999244.1689,10768.27,10766.19,10865,10636.66
2/1/17 23:59,7.0414846,6924.476938,967.35,938.04,986.96,962.04
10/24/20 23:59,27.23035252,356970.4355,12999.07,12997.71,13182.83,12947.71
8/26/20 23:59,103.0096908,1182041.037,11392.21,11625.87,11549.8,11250.14
8/10/19 23:59,132.8696722,1501896.643,11360.22,11359.99,11445.94,11228
4/11/16 23:59,36.71414943,15507.86102,419.96,419.42,422.8,419.34
2/7/15 23:59,2.5401,580.8185778,225,225.61,231.14,210.43
7/22/20 23:59,160.7334184,1531810.087,9356.47,9349.98,9573,9318.04
2/19/17 23:59,7.6758458,8073.264222,1062.82,1062.82,1067,1039.07
9/12/17 23:59,169.580048,705016.2382,4337.54,4339,4355,4080
12/8/20 23:59,28.3372455,519040.7799,18792.06,18799.56,18979.21,18163.52
6/20/14 23:59,142.0981872,84065.18752,593.41,588.02,598.68,580.51
2/10/17 23:59,120.1397063,119787.0402,974.22,976,1010.68,963.9
4/15/19 23:59,120.1967195,606495.5308,5139.78,5142.27,5173.9,4948.57
11/29/17 23:59,1006.585824,9777084.138,10744.96,10744.99,11395,9250
3/27/20 23:59,1560.924174,9983519.629,6661.8,6658.58,6709.79,6210
3/26/20 23:59,215.862829,1457227.082,6606.07,6605.98,6789.32,6528.07
11/25/17 23:59,290.7925264,2526601.289,8410.12,8420.98,8737,8400
6/22/19 23:59,49.06380459,524258.6451,10860.41,10860.41,11200,10255.07
6/1/20 23:59,3754.694067,38314660.77,9527.24,9534.46,10429.26,9495.82
8/3/18 23:59,1.06051964,7859.227518,7360.11,7360.11,7542.92,7349.47
6/13/19 23:59,158.2995671,1303113.423,8112.57,8111.59,8335.56,8049.22
9/20/20 23:59,155.6390274,1699737.385,10959.35,10953.95,10960.49,10755.9
11/29/19 23:59,46.80189096,362643.6471,7563.22,7560.61,7870.35,7423.33
11/14/20 23:59,51.5360701,830015.3094,15914.15,15916.33,16163.57,15715.1
8/8/17 23:59,331.039218,1129375.897,3435.14,3440.32,3464.32,3300
10/28/16 23:59,3.52812899,2421.509785,685.98,650,687.23,680.92
9/18/15 23:59,473.2677633,110182.8412,229.2,232.47,235,228.82
8/26/18 23:59,59.53583442,399196.6711,6700.01,6700.01,6727.25,6624.79
7/8/20 23:59,74.32575298,701307.8992,9304.18,9309.63,9479.57,9280.71
12/13/19 23:59,3.67542556,26664.21676,7232.25,7232.56,7302.35,7193.42
7/29/19 23:59,125.090269,1186925.68,9468.18,9465.15,9658.58,9360
8/15/14 23:59,160.1974581,80370.27246,507.99,500.25,521.79,481.55
11/6/15 23:59,399.9398344,148442.9512,371.95,371.95,396.67,362.64
10/5/14 23:59,65.54570219,21129.42009,326.24,323.52,339.43,275
4/7/14 23:59,146.4477292,65641.01397,459.97,447.11,464.19,446
11/23/16 23:59,53.65361887,39713.04154,740.38,740.37,744,729.92
6/30/14 23:59,125.5896394,80200.06719,599.86,641.11,647.09,595.51
5/13/19 23:59,200.0660044,1566751.935,7298.62,7294.39,8167.5,7240.77
5/7/18 23:59,65.02180759,608775.9995,9310.58,9310.59,9442.8,9175
10/14/14 23:59,294.8444719,118928.7726,392.99,403.38,417.99,390.48
1/19/17 23:59,119.1270072,107302.4252,897.68,887.68,910,851.74
4/25/18 23:59,832.6956371,7339897.188,9096.82,9097.47,9227.08,8751
9/15/17 23:59,59.89033836,221192.403,3028.82,3020.9,3820,3000
12/15/20 23:59,170.3882435,3309047.071,19299.89,19302.61,19556.86,19257.52
12/2/19 23:59,36.64667904,268219.6764,7301.06,7291.16,7364.27,7231.27
4/4/20 23:59,18.07373725,124280.363,6721.37,6729.97,7014,6674.12
10/28/14 23:59,161.3896464,57348.4895,351.03,356.96,359.5,350.09
6/23/15 23:59,68.15874379,16613.49751,243.25,243.21,245.19,242.14
5/4/14 23:59,1228.070818,539590.8608,439,438.04,442.83,429.55
2/2/21 23:59,100.0089533,3559816.441,34917.42,34906.38,36008.67,34411.05
4/28/17 23:59,28.48008561,37980.92864,1310,1311.23,1338.13,1299
5/9/20 23:59,324.0657827,3096126.751,9594.38,9594.48,9797.54,9515.4
10/31/15 23:59,130.9051718,40560.62666,324.6,324.56,326.98,302.99
4/25/14 23:59,469.3355968,219163.5527,502.15,466.52,503.99,438.05
9/26/19 23:59,164.3319336,1329211.805,8415.42,8415.45,8437,7733.99
4/11/20 23:59,6.87913505,47362.03891,6918.44,6885.4,6967.08,6750.15
12/18/15 23:59,302.1332122,140013.561,458.44,458.39,464.2,457.3
9/16/15 23:59,15.41064719,3517.017448,226.03,226.02,228.87,225.61
1/11/15 23:59,1738.940562,460949.3799,264.55,280,305,262.08
6/13/18 23:59,74.73188677,470829.0537,6446.32,6445.86,6490,6120
5/11/15 23:59,11.38510299,2744.811054,239.96,239.96,244.51,239.13
4/28/18 23:59,107.3830816,1003732.767,9195.11,9195.15,9442.34,9166.99
4/7/18 23:59,13.85874616,95656.98433,6864.2,6864.65,7069.13,6761.43
4/18/18 23:59,104.3970133,853011.0151,8107.31,8103.7,8235,7934.65
2/9/17 23:59,161.5054426,158948.2424,1065.12,1065.13,1065.13,913.73
2/5/18 23:59,366.5844213,2506373.054,7540,7539.47,7811.62,6600
10/23/19 23:59,140.5539894,1048737.853,7972.68,7965,7974.67,7293.55
6/26/18 23:59,538.5626783,3273799.007,6200.95,6200.95,6264,6025.68
1/3/19 23:59,12.98329757,49127.86247,3828.07,3830.48,3859.39,3760
5/23/20 23:59,2.78841299,25582.16959,9191.06,9193.99,9255.8,9084.83
7/15/17 23:59,1117.716648,2226545.316,2045.76,2045.76,2105,1967.65
7/7/14 23:59,14.35156896,8950.556562,633.87,622.09,636,612.9
1/20/20 23:59,43.41677149,375394.1246,8622.49,8620.52,8740.54,8507.93
12/19/20 23:59,83.05216495,1980411.63,22934.9,22921.61,24217.38,22903.5
11/18/14 23:59,598.4427371,224819.4437,388.72,374.88,394.64,371
11/29/18 23:59,68.12646003,289378.6779,4370.81,4370,4370.81,4112.02
7/7/16 23:59,10.97279792,7010.40011,645,644.86,646.95,605.5
7/8/19 23:59,291.3243332,3589711.639,11932.7,11937.17,12398,11788.72
10/2/14 23:59,211.0149622,79175.61954,384.85,374.68,385.82,372
2/1/16 23:59,118.7031756,44115.8364,375.34,381.59,376.47,369.06
6/28/18 23:59,520.2337842,3040665.601,6099.5,6097.25,6130.1,5818.14
8/8/18 23:59,30.04931713,188323.0345,6503.99,6503.7,6518.81,6121
6/23/19 23:59,211.8321406,2285311.551,10598.48,10597.4,11247.62,10554.02
9/3/19 23:59,40.23330354,427767.7122,10412.9,10411.26,10783,10401.16
9/22/18 23:59,86.72706412,582008.5387,6671.01,6671.01,6741.59,6633.01
8/9/19 23:59,65.48219756,776505.7242,11708.73,11724.02,11948.99,11650
1/3/21 23:59,291.7836532,9683262.247,34378.7,34365.09,34622.67,32000
6/4/20 23:59,2.58465007,25325.91886,9610.43,9606.05,9888,9600.24
12/2/14 23:59,35.68201184,13514.21082,376.53,379.52,382.86,375.23
5/22/14 23:59,376.460649,199106.5975,493.98,529.99,530,492.65
11/3/19 23:59,75.38943615,694205.8339,9175.23,9174.71,9248.46,9067
5/14/17 23:59,49.1572975,87226.24138,1789.01,1788.01,1797.77,1753
9/5/20 23:59,228.3463951,2313159.805,10159.17,10165.94,10351.34,9850
5/10/19 23:59,179.8027464,1143298.48,6276.71,6276.71,6426.8,6230
3/29/21 23:59,29.98137242,1728354.567,57817.09,57788.15,58402.68,57091.37
11/11/18 23:59,123.0583562,779825.6426,6333,6333,6360,6269.46
12/27/16 23:59,55.47377781,51589.54264,918.14,918.07,936.42,916.23
6/15/20 23:59,102.6018896,968877.1666,9117.13,9119.76,9505.4,9034.7
8/7/15 23:59,164.3629437,45885.69293,278.78,278.44,280.43,278.46
4/13/18 23:59,320.3147599,2533185.736,8118.84,8118.84,8239.33,7805
8/3/14 23:59,28.33080597,16607.93457,589.6,588.91,591,578.21
3/17/18 23:59,90.39192939,713262.8589,8290.21,8287.97,8309.05,7730.23
4/7/19 23:59,456.2190533,2366903.123,5108.84,5105.16,5253.49,5050
5/8/15 23:59,161.8972795,39409.01022,230.16,237.59,246.57,230.14
2/20/20 23:59,42.23507127,405781.1599,9581.14,9590.96,9706.27,9396.91
9/10/17 23:59,5.42059277,22869.04216,4100.83,4100.82,4312.82,4082.57
4/16/17 23:59,230.0225035,267760.9984,1165.76,1165.76,1179.3,1150
10/21/19 23:59,317.063266,2602933.947,8233.51,8240.01,8352,8156
3/8/19 23:59,40.45942331,155429.5628,3877.11,3876.61,3912.02,3760.1
2/8/15 23:59,85.24073423,19072.42847,228.88,228.86,229.71,217.28
2/12/15 23:59,89.476217,19912.27891,219.22,219.22,223.09,218.54
8/12/18 23:59,197.7145693,1247207.378,6325.7,6325.69,6493.77,6185.89
3/31/15 23:59,20.88594044,5092.585208,243.96,244.11,245.5,238.55
9/20/19 23:59,2.11816152,21558.90148,10159.82,10148.07,10229.49,10055
7/8/18 23:59,93.53296877,627315.1602,6730,6730,6775.21,6674.6
11/22/17 23:59,181.6551406,1497174.502,8274.9,8275,8290.04,8075.01
4/10/17 23:59,53.972769,65232.95246,1211.98,1175,1214.45,1195
2/16/15 23:59,151.2420743,35520.33776,234.47,233.62,239.84,231.9
7/28/14 23:59,24.55363023,14413.21674,592.61,586.53,596,570.5
2/14/18 23:59,854.6496999,8106747.328,8900.08,8900.16,9515,8887
2/18/19 23:59,0.058643,226.9991814,3706.38,3705.2,3916.47,3691.8
11/23/20 23:59,233.9361265,4296040.852,18632.81,18634.47,18720.25,18150
12/1/17 23:59,150.9827857,1634068.35,9944.81,9979.97,10949.89,9940.33
8/21/15 23:59,306.3684466,71428.02368,234.12,234.19,234.99,231.77
2/3/20 23:59,22.19490494,206153.4372,9335.54,9335.98,9353.17,9211.07
9/19/17 23:59,196.0658196,767499.9701,3993.97,3994.47,4042.05,3860
12/15/16 23:59,93.2552936,72248.1137,778.22,778.22,779.08,773.12
1/9/16 23:59,95.16480674,42732.56771,454.8,449.98,456.67,444.51
7/18/17 23:59,21.20370878,48892.4031,2300,2299.99,2392,2265.77
5/29/20 23:59,307.3364883,2902936.472,9385.07,9385.07,9478,9330
8/4/15 23:59,45.78365649,13038.70722,283.71,283.65,285.88,283.01
