Timestamp,Hourly_Close
2/23/17 15:59,1156.57
1/15/20 0:59,8821.23
8/30/15 2:59,231.24
8/18/14 10:59,479.9
8/12/17 8:59,3729.39
2/26/14 8:59,600.01
3/29/21 9:59,58000
3/26/14 17:59,586.49
6/27/16 11:59,633.08
9/4/20 15:59,10289.55
11/19/19 10:59,8095.19
6/27/19 0:59,13182.94
6/24/19 17:59,11012.25
12/28/20 4:59,26916.32
11/3/19 5:59,9278
11/14/17 16:59,6594.99
3/12/17 21:59,1222.08
10/31/19 9:59,9047.08
8/2/18 0:59,7661.99
5/1/16 17:59,451.35
2/2/19 1:59,3431.78
7/24/18 4:59,7843.51
5/25/19 6:59,7960.62
1/17/15 22:59,199.31
12/3/17 9:59,11095.1
1/27/17 5:59,909
8/27/15 11:59,225.72
3/6/21 15:59,47616.05
7/29/17 19:59,2731.17
10/25/14 15:59,352.18
7/15/15 18:59,292.43
12/25/18 3:59,3727.66
1/3/16 23:59,430.74
6/30/15 8:59,263.85
10/1/16 13:59,612.27
4/14/18 19:59,8012
10/3/18 18:59,6447.33
8/14/14 7:59,514.58
9/10/19 17:59,10195
11/3/14 7:59,330.54
5/3/20 23:59,8903.1
6/22/17 2:59,2646.67
10/11/15 1:59,245.72
7/12/18 19:59,6166.2
1/26/21 20:59,31950.49
12/12/18 23:59,3423.98
7/13/15 6:59,307.73
9/28/16 4:59,604.28
11/19/15 19:59,327.94
2/8/18 20:59,8299.04
11/7/19 20:59,9174.56
5/14/15 12:59,237.06
2/7/18 8:59,7706.83
12/2/18 18:59,4102.11
1/9/20 12:59,7864.6
3/2/14 15:59,561.61
2/25/18 13:59,9483.06
2/22/19 23:59,3951.92
2/27/14 21:59,585
11/2/15 11:59,335.33
1/5/20 13:59,7431.46
1/4/21 12:59,31345.08
12/28/16 1:59,939.99
9/30/15 4:59,237.99
1/21/18 2:59,12525
11/5/20 22:59,15500
7/10/17 6:59,2507.41
12/7/14 1:59,375.82
7/26/17 0:59,2596.41
2/8/14 7:59,717.33
8/20/20 5:59,11699.55
11/5/19 0:59,9387.39
6/12/16 16:59,644.98
7/27/17 18:59,2557.98
1/19/21 11:59,37041.39
6/9/17 14:59,2853.12
6/24/16 4:59,665.4
8/11/15 6:59,265.36
12/2/20 18:59,19051.32
4/14/18 21:59,8043.9
8/1/17 2:59,2854.74
7/28/18 5:59,8208.52
11/9/19 21:59,8789.96
5/6/14 20:59,429.99
12/11/17 23:59,16430.55
12/17/15 15:59,456.82
11/6/18 17:59,6424.83
3/2/18 19:59,10894.55
